id_rango_precio,cod_muni,anio,Trimestre,Rango_precio,Unidades_por_rango,area_m2_rango
120,051,2020,1,"Rango 1",15,500.00
121,051,2020,1,"Rango 2",68,3517.00
122,051,2020,1,"Rango 3",49,2668.83
123,051,2020,1,"Rango 4",246,14597.60
124,051,2020,1,"Rango 5",463,41507.45
125,051,2020,1,"Rango 6",314,48695.12
126,081,2020,1,"Rango 1",17,537.00
127,081,2020,1,"Rango 2",355,18510.95
128,081,2020,1,"Rango 3",99,6002.34
129,081,2020,1,"Rango 4",753,48529.54
130,081,2020,1,"Rango 5",392,33275.17
131,081,2020,1,"Rango 6",28,5678.00
132,111,2020,1,"Rango 1",21,868.00
133,111,2020,1,"Rango 2",228,11622.74
134,111,2020,1,"Rango 3",183,9442.35
135,111,2020,1,"Rango 4",1592,84368.23
136,111,2020,1,"Rango 5",2911,162182.71
137,111,2020,1,"Rango 6",1224,148295.97
138,131,2020,1,"Rango 1",1,31.00
139,131,2020,1,"Rango 2",257,12515.00
140,131,2020,1,"Rango 3",24,1846.00
141,131,2020,1,"Rango 4",282,20366.00
142,131,2020,1,"Rango 5",490,31863.43
143,131,2020,1,"Rango 6",448,82894.57
144,761,2020,1,"Rango 1",27,968.00
145,761,2020,1,"Rango 2",111,5768.80
146,761,2020,1,"Rango 3",59,4099.15
147,761,2020,1,"Rango 4",613,43911.17
148,761,2020,1,"Rango 5",259,26623.07
149,761,2020,1,"Rango 6",233,41622.81
150,051,2020,2,"Rango 1",6,217.00
151,051,2020,2,"Rango 2",21,1032.00
152,051,2020,2,"Rango 3",12,735.00
153,051,2020,2,"Rango 4",27,1953.00
154,051,2020,2,"Rango 5",190,14295.93
155,051,2020,2,"Rango 6",568,90627.07
156,081,2020,2,"Rango 2",168,8643.00
157,081,2020,2,"Rango 3",12,869.00
158,081,2020,2,"Rango 4",149,9319.00
159,081,2020,2,"Rango 5",19,1625.00
160,081,2020,2,"Rango 6",40,12188.00
161,111,2020,2,"Rango 2",5,188.00
162,111,2020,2,"Rango 3",15,908.00
163,111,2020,2,"Rango 4",752,35661.04
164,111,2020,2,"Rango 5",552,38712.75
165,111,2020,2,"Rango 6",541,58720.21
166,131,2020,2,"Rango 2",14,839.33
167,131,2020,2,"Rango 3",21,1400.67
168,131,2020,2,"Rango 4",135,9311.00
169,131,2020,2,"Rango 5",12,2154.00
170,761,2020,2,"Rango 1",6,260.00
171,761,2020,2,"Rango 2",75,3857.60
172,761,2020,2,"Rango 3",31,2002.32
173,761,2020,2,"Rango 4",325,23219.08
174,761,2020,2,"Rango 5",301,27178.82
175,761,2020,2,"Rango 6",77,16006.18
176,051,2020,3,"Rango 2",97,4935.00
177,051,2020,3,"Rango 3",22,1331.28
178,051,2020,3,"Rango 4",303,18091.81
179,051,2020,3,"Rango 5",340,30086.95
180,051,2020,3,"Rango 6",359,55432.96
181,081,2020,3,"Rango 1",10,390.00
182,081,2020,3,"Rango 2",960,48303.15
183,081,2020,3,"Rango 3",137,7400.33
184,081,2020,3,"Rango 4",1360,86774.85
185,081,2020,3,"Rango 5",206,17077.67
186,081,2020,3,"Rango 6",21,3922.00
187,111,2020,3,"Rango 1",2,103.33
188,111,2020,3,"Rango 2",46,2044.67
189,111,2020,3,"Rango 3",82,3842.26
190,111,2020,3,"Rango 4",2184,119199.31
191,111,2020,3,"Rango 5",3313,198411.94
192,111,2020,3,"Rango 6",1619,177792.49
193,131,2020,3,"Rango 2",91,5346.00
194,131,2020,3,"Rango 3",10,756.00
195,131,2020,3,"Rango 4",857,61573.00
196,131,2020,3,"Rango 5",236,19347.57
197,131,2020,3,"Rango 6",241,33035.43
198,761,2020,3,"Rango 1",35,1194.00
199,761,2020,3,"Rango 2",127,7028.20
200,761,2020,3,"Rango 3",46,3156.73
201,761,2020,3,"Rango 4",1297,92412.94
202,761,2020,3,"Rango 5",326,19303.13
203,761,2020,3,"Rango 6",393,43948.00
204,051,2020,4,"Rango 2",20,896.50
205,051,2020,4,"Rango 3",105,5366.50
206,051,2020,4,"Rango 4",243,14192.00
207,051,2020,4,"Rango 5",280,25410.66
208,051,2020,4,"Rango 6",476,65085.34
209,081,2020,4,"Rango 1",8,278.00
210,081,2020,4,"Rango 2",790,39876.08
211,081,2020,4,"Rango 3",117,7126.31
212,081,2020,4,"Rango 4",956,60791.28
213,081,2020,4,"Rango 5",488,47931.96
214,081,2020,4,"Rango 6",112,32846.37
215,111,2020,4,"Rango 1",4,150.00
216,111,2020,4,"Rango 2",560,27226.00
217,111,2020,4,"Rango 3",436,16951.49
218,111,2020,4,"Rango 4",3791,191859.86
219,111,2020,4,"Rango 5",2185,132860.83
220,111,2020,4,"Rango 6",825,82977.82
221,131,2020,4,"Rango 1",2,106.67
222,131,2020,4,"Rango 2",17,975.66
223,131,2020,4,"Rango 3",23,1650.00
224,131,2020,4,"Rango 4",1214,63601.67
225,131,2020,4,"Rango 5",183,13895.00
226,131,2020,4,"Rango 6",65,17061.00
227,761,2020,4,"Rango 2",144,7667.67
228,761,2020,4,"Rango 3",117,7061.67
229,761,2020,4,"Rango 4",969,75710.40
230,761,2020,4,"Rango 5",1144,92449.57
231,761,2020,4,"Rango 6",379,43454.69
232,051,2021,1,"Rango 2",36,1656.50
233,051,2021,1,"Rango 3",28,1605.00
234,051,2021,1,"Rango 4",44,2607.67
235,051,2021,1,"Rango 5",727,57740.84
236,051,2021,1,"Rango 6",698,114098.99
237,081,2021,1,"Rango 1",9,332.00
238,081,2021,1,"Rango 2",341,17486.03
239,081,2021,1,"Rango 3",60,3359.11
240,081,2021,1,"Rango 4",818,54573.95
241,081,2021,1,"Rango 5",495,41298.59
242,081,2021,1,"Rango 6",398,44604.32
243,111,2021,1,"Rango 1",2,81.00
244,111,2021,1,"Rango 2",150,6285.66
245,111,2021,1,"Rango 3",71,3928.22
246,111,2021,1,"Rango 4",2367,118996.64
247,111,2021,1,"Rango 5",5044,268837.78
248,111,2021,1,"Rango 6",1242,135531.70
249,131,2021,1,"Rango 1",4,201.33
250,131,2021,1,"Rango 2",1002,47043.00
251,131,2021,1,"Rango 3",297,16374.67
252,131,2021,1,"Rango 4",316,20110.00
253,131,2021,1,"Rango 5",379,29472.00
254,131,2021,1,"Rango 6",90,11153.00
255,761,2021,1,"Rango 1",5,192.00
256,761,2021,1,"Rango 2",140,7353.60
257,761,2021,1,"Rango 3",71,4640.80
258,761,2021,1,"Rango 4",1491,104129.20
259,761,2021,1,"Rango 5",961,78040.40
260,761,2021,1,"Rango 6",509,85532.00
261,051,2021,2,"Rango 2",158,9622.00
262,051,2021,2,"Rango 3",256,12161.00
263,051,2021,2,"Rango 4",419,23052.14
264,051,2021,2,"Rango 5",176,15691.42
265,051,2021,2,"Rango 6",261,43181.44
266,081,2021,2,"Rango 1",11,444.50
267,081,2021,2,"Rango 2",307,16143.50
268,081,2021,2,"Rango 3",357,19910.33
269,081,2021,2,"Rango 4",1148,72235.22
270,081,2021,2,"Rango 5",266,20986.12
271,081,2021,2,"Rango 6",333,59785.33
272,111,2021,2,"Rango 1",1,36.00
273,111,2021,2,"Rango 2",60,2332.50
274,111,2021,2,"Rango 3",456,15834.66
275,111,2021,2,"Rango 4",1401,71570.43
276,111,2021,2,"Rango 5",4118,228405.60
277,111,2021,2,"Rango 6",2197,234014.81
278,131,2021,2,"Rango 1",4,132.00
279,131,2021,2,"Rango 2",17,973.34
280,131,2021,2,"Rango 3",11,649.33
281,131,2021,2,"Rango 4",559,33901.67
282,131,2021,2,"Rango 5",493,33902.66
283,131,2021,2,"Rango 6",217,40500.00
284,761,2021,2,"Rango 1",9,351.00
285,761,2021,2,"Rango 2",97,4593.00
286,761,2021,2,"Rango 3",97,6157.50
287,761,2021,2,"Rango 4",236,16523.00
288,761,2021,2,"Rango 5",1436,106879.37
289,761,2021,2,"Rango 6",209,35537.13
290,051,2021,3,"Rango 2",48,2912.60
291,051,2021,3,"Rango 3",102,5816.51
292,051,2021,3,"Rango 4",351,20955.61
293,051,2021,3,"Rango 5",656,49846.84
294,051,2021,3,"Rango 6",1299,161861.44
295,081,2021,3,"Rango 1",13,514.83
296,081,2021,3,"Rango 2",490,25025.84
297,081,2021,3,"Rango 3",116,6642.00
298,081,2021,3,"Rango 4",722,47710.31
299,081,2021,3,"Rango 5",1127,86318.43
300,081,2021,3,"Rango 6",347,45276.59
301,111,2021,3,"Rango 2",12,594.92
302,111,2021,3,"Rango 3",92,4041.48
303,111,2021,3,"Rango 4",563,26870.30
304,111,2021,3,"Rango 5",7736,405338.06
305,111,2021,3,"Rango 6",2051,204947.24
306,131,2021,3,"Rango 2",20,1143.33
307,131,2021,3,"Rango 3",211,11702.00
308,131,2021,3,"Rango 4",232,15538.00
309,131,2021,3,"Rango 5",628,44143.18
310,131,2021,3,"Rango 6",150,20341.49
311,761,2021,3,"Rango 1",1,37.00
312,761,2021,3,"Rango 2",135,6227.00
313,761,2021,3,"Rango 3",59,3578.00
314,761,2021,3,"Rango 4",634,39705.50
